V and B Agde	6 rue De La Chiminie	34300
V and B Agen	avenue Du Général Leclerc	47000
V and B Aizenay	123 Rue De La Roche	85190
V and B Albertville	610 rue Louis Armand	73200
V and B Albi Le Sequestre	ZAC Fonlabour	81000
V and B Albi Lescure	Pôle Leclerc Lescure D'Albigeois	81000
V and B Alençon	69 bis rue D'Alençon	61250
V and B Alès	173 route De Nîmes	30100
V and B Allonnes	1 rue De La Bérardière	72700
V and B Ambérieu-en-Bugey	37 avenue de la Libération	01500
V and B Amiens Les Halles	place Maurice Vast	80000
V and B Ancenis	992 boulevard De La Prairie	44150
V and B Angers	36 boulevard Gaston Birgé	49100
V and B Anglet	25 avenue Jean Léon Laporte	64600
V and B Angoulême	11 rue De Rabion	16000
V and B Argentan	route De Falaise	61200
V and B Artigues	Avenue de Guyenne	33370
V and B Aubière	9 bis rue De L'Industrie	63170
V and B Auch	1 rue Clément Ader	32000
V and B Aulnoy-lez-Valenciennes	9 rue Michel Moriamez	59300
V and B Auray	9 rue De L'Irlande	56400
V and B Aurillac	104 avenue Du Général Leclerc	15000
V and B Auxerre	3 rue Du Colonel Rozanoff	89000
V and B Avignon Mistral 7	180 rue Eric Rohmer	84140
V and B Avon	44 Avenue de Valvins	77210
V and B Avranches	55 rue de la Division Leclerc	50300
V and B Avrillé	Zi Croix Cadeau	49240
V and B Azay-le-Brûlé	5 Rue des Hauts de l'Hommeraie	79400
V and B Balma Gramont	6 a rue Tony Garnier	31130
V and B Barentin	parvis Des Senteurs	76360
V and B Basse-Goulaine	1 rue Terre Adelie	44115
V and B Bastia	Lieu dit San Lorenzo	20620
V and B Baule	Za Les Coutures	45130
V and B Bayeux	boulevard Yves Dubois De La Cotardière	14400
V and B Bayonne	8 chemin De Hayet	64100
V and B Beaune	20 Avenue du Lac	21200
V and B Beauvais	30 rue Arago	60000
V and B Bègles	rue Louis Blériot	33130
V and B Belfort	Faubourg de Besançon	90000
V and B Bergerac	95 avenue Charles De Gaulle	24100
V and B Besançon	2 rue Du Valset	25220
V and B Béziers	rue Brulier Du Vercors A9	34500
V and B Biganos	707 rue Joseph Marie Jacquard	33380
V and B Biscarrosse	76 route De Bordeaux	40600
V and B Bizanos	41 boulevard Du Commandant René Mouchotte	64320
V and B Blain	27 quater route De L'Isac	44130
V and B Blois	120 avenue De Vendome	41000
V and B Bonchamp	impasse De Barbe	53960
V and B Bordeaux-Lac	2 rue du Professeur Darget	33300
V and B Boulazac	zone d'activité commerciale Du Ponteix	24750
V and B Bourg-en-Bresse	70 c avenue François Pignier	01000
V and B Bourg-lès-Valence	99 avenue De Lyon	26500
V and B Bourges	rue De La Fontaine - Route De La Charité	18390
V and B Bourgoin-Jallieu	2 avenue Du Parc De La Ladriere	38300
V and B Bressuire	14 rue Pont D’Ouit	79300
V and B Brest	9 rue Gaston Planté	29850
V and B Brétigny-sur-Orge	12 rue Du Poitou	91227
V and B Brignoles	Avenue Jean Moulin	83170
V and B Brive-la-Gaillarde	7 avenue Cyprien Faurie	19100
V and B Caen	3 route De Paris	14120
V and B Caen Nord	138 rue Leon Foucault	14200
V and B Cahors	528 rue Pierre Mendès France	46000
V and B Cannes	140 avenue Françis Tonner	06150
V and B Carcassonne	70 K rue Alessandro Volta	11000
V and B Carhaix	boulevard Jean Moulin	29270
V and B Castelnaudary	1 Rue Joseph Jacquart	11400
V and B Castelsarrasin	chemin Des Tournesols	82100
V and B Castres	20 rue Henry Le Chatelier	81100
V and B Caudan	250 rue Jean Baptiste Martenot	56850
V and B Challans	5 Rue Florence Arthaud	85300
V and B Chalon La Thalie	Rue des Poilus d'Orient	71100
V and B Chalon-sur-Saône	2 rue René Cassin	71380
V and B Chambéry La Ravoire	135 rue Pierre Et Marie Curie	73490
V and B Chambéry Nord	127 Rue Eugène Ducretet	73000
V and B Chambly	590 rue Jean Renoir	60230
V and B Chambray-lès-Tours	15 rue Henry Potez	37170
V and B Chambry	2 Rue Voltaire	02000
V and B Champagnole	46 rue Clémenceau	39300
V and B Champniers	1156 route De La Braconne	16430
V and B Chartres	39 rue Des Pierres Missigault	28630
V and B Château-Gontier	8 Av. Ambroise Paré	53200
V and B Châteaubernard	55 -57 avenue D'Angoulême	16100
V and B Châteaubriant	41 rue De Général Patton	44110
V and B Châteauroux	allée Des Craquelins	36330
V and B Châtellerault	29 rue C.Nungesser Et F.Coli	86100
V and B Chécy	20 rue Gustave Eiffel	45430
V and B Chemillé	1 bis rue Henri Paul Spaak	49120
V and B Cherbourg Equeurdreville	rue Du Pré Fleuri	50120
V and B Cherbourg Tourlaville	260 Rue du Grand Pré	50110
V and B Chinon	39 Rue Georges Guynemer	37500
V and B Cholet	4 boulevard Du Poitou	49300
V and B Cholet Sud	26 Bd Jacques Cassini	49300
V and B Clermont l'Hérault	6 Rue du Chardonnay	34800
V and B Colomiers	2 rue Antoine Lavoisier	31770
V and B Compiègne	27 esplanade Marguerite Perey	60200
V and B Concarneau	10 rue Aimé Césaire	29900
V and B Cormeilles-en-Parisis	2 allée Des Coudrées	95240
V and B Coudekerque	51 Rte de Furnes	59210
V and B Dinan	2 rue De La Coulebart	22100
V and B Dinard - Pleurtuit	4 rue Du Cap Horn	35730
V and B Dives-sur-Mer	Avenue des Résistants	14160
V and B Douarnenez	1 impasse De Penn Ar Creac'H	29100
V and B Dreux	4 rue Roland Barbot	28100
V and B Echirolles	5 place De La Grande Moucherolle	38130
V and B Epagny	361 avenue Des Alpes	74330
V and B Evreux	1357 route De Paris	27930
V and B Evron	1 Z I les Nochetières zi Des Nochetières	53600
V and B Figeac	ZA l'aiguille	46100
V and B Flers	1026 Rte de Domfront	61100
V and B Flins-sur-Seine	ZAC Des Mériels	78410
V and B Forbach	300 Rue Nationale	57600
V and B Fougères	rue Marion Faouet	35133
V and B Franconville	368 Rue du Général Leclerc	95130
V and B Fréjus	116 rue Georges Besse	83600
V and B Gap Tokoro	14 Bd d'Orient	05000
V and B Givors	6 rue Rue De La Paix	69700
V and B Grenoble	28 rue De Glairons	38400
V and B Grésy-sur-Aix	125 rue Des Allobroges	73100
V and B Guingamp	rue De Cadolan	22200
V and B Haguenau	zone Taubenhof Ii 67500	67500
V and B Ingré	15 rue Pierre Et Marie Curie	45140
V and B Issoire	5 zi Des Listes	63500
V and B Issoudun	Rue De La Limoise	36100
V and B Istres Forum des Carmes	18-22 place Patricia Tranchand	13800
V and B L'Aigle	Zone Commerciale du Minerai	61300
V and B La Ciotat	361 avenue Emile Bodin	13600
V and B La Ferté-Bernard	5 rue Alfred Marchand	72400
V and B La Flèche	3 allée Des Gabares	72200
V and B La Madeleine	8 rue Bernard Ruyant	59110
V and B La Roche Nord	rue Claude Chappe	85000
V and B La Roche Sud	10 rue Henri Aucher	85000
V and B La Rochelle - Beaulieu	zac Beaulieu	17138
V and B La Teste-de-Buch	1 boulevard De Curepipe	33260
V and B Labège	789 rue Max Planck	31670
V and B Landivisiau	Zone De Kerven	29400
V and B Langon	112 Cr du Mal de Lattre Tassigny	33210
V and B Langueux	18 rue Des Genêts	22360
V and B Lannion	1 rue Georges Cuvier	22300
V and B Le Haillan	rue Des Satellites	33185
V and B Le Havre	10 rue De La Ferme Dambuc	76700
V and B Le Mans	339 avenue Rhin Et Danube	72000
V and B Le Mans Antarès	Route De Tours	72000
V and B Le Pian-Médoc	473 route, De Pauillac,	33290
V and B Lempdes	63 avenue de l'Europe	63370
V and B Les Clayes-sous-Bois	25 rue du Gros Caillou	78340
V and B Les Sables d'Olonne	rue Des Œillets	85340
V and B Lézignan	26 Rue des Romains	11200
V and B Libourne	185 avenue Du Général De Gaulle	33500
V and B Limoges	20 avenue Louis de Broglie	87280
V and B Limonest	1588 Route Départementale 306	69760
V and B Lisieux	Avenue Georges Duval	14100
V and B Loches	39 route De Vauzelles	37600
V and B Lorient	152 rue Du Colonel Jean Muller	56100
V and B Loudéac	1 rue Jean Le Cam	22600
V and B Luçon	6 rue Denis Papin	85400
V and B Mâcon	111 route De Lyon	71000
V and B Malemort	Rue jean Baptiste Fouchet	19360
V and B Manosque	361 Av. des Près Combaux	04100
V and B Margon	17 rue Paul Eluard	28400
V and B Marmande	117 avenue Jean Jaurès	47200
V and B Marseille Republique	25 - 27 Rue de la République	13002
V and B Martigues	Allée Pablo Picasso	13500
V and B Maurepas	rue Jean Perrin	78310
V and B Mayenne	71 A rue De L'Horizon	53100
V and B Mazamet	5 Rue de Gramentès	81200
V and B Mérignac	12 rue Jacques Anquetil	33700
V and B Metz	19 Rue du Judeau	57685
V and B Mont-de-Marsan	87 Chemin Chemin De Lubet	40280
V and B Montaigu	51 Rte de Cholet	85600
V and B Montauban	2 rue De Voltaire	82000
V and B Montauban Albasud	Avenue De L'Irlande	82000
V and B Montbrison	1 allée Auguste Bernard	42600
V and B Montceau-les-Mines	16 rue De Marigny	71300
V and B Montélimar	122 route De Châteauneuf	26200
V and B Montluçon	Rue Nicolas Rambourg	03100
V and B Montpellier Lattes	9 allée Du Levant	34970
V and B Montpellier Le Crès	910 route De Nîmes	34920
V and B Moulins	Route de Lyon,	03000
V and B Mozac	14 rue Fernand Forest	63200
V and B Mulhouse	5 avenue Jean Monnet	68790
V and B Murs-Erigné	10 Mail Du Grand Clos	49610
V and B Nancy Sud	12 rue D’Albertville	54500
V and B Nanterre	297 Boulevard Des Provinces Françaises	92000
V and B Nantes	22 rue Du Marché Commun	44300
V and B Narbonne	18 Avenue du Quatourze	11100
V and B Nevers	53 boulevard Du Grands-Près-Des-Bordes	58000
V and B Nice Stade	34 Rue Jules Bianchi	06000
V and B Nice Vauban	19 rue Jules Et Aline Avigdor	06300
V and B Nîmes Carré Sud	148 Rue Jean Lauret	30900
V and B Nîmes Les 7 Collines	205 rue Du Forez	30000
V and B Niort	17 rue Jean Couzinet	79000
V and B Nort-sur-Erdre	zac De La Pancarte 2	44390
V and B Northampton	10 St Giles Square	53200
V and B Olivet	1470 rue Bergeresse	45160
V and B Orange	105 avenue De L'Europe	84100
V and B Orléans Châtelet	1 place Du Châtelet	45000
V and B Ormesson-sur-Marne	9 avenue De L'Hippodrome	94510
V and B Orthez	zi Des Soarns Soleil	64300
V and B Paimpol	24 rue Raymond Pellier	22500
V and B Pamiers	16 A Des Milles Hommes	09100
V and B Parthenay	165-167 avenue Aristide Briand	79200
V and B Pau	21 rue Ronsard	64000
V and B Perpignan	1 rue James Watt	66330
V and B Perpignan - Espace Polygone	1455 avenue Du Languedoc	66000
V and B Plan de Campagne	chemin Des Pennes Au Pin	13170
V and B Plérin	1 rue Du Pont À L'Anglais	22190
V and B Ploermel	rue Fernand Forest	56800
V and B Poitiers Biard	6 rue Annet Segeron	86580
V and B Poitiers Sud	189 avenue Du 8 Mai 1945	86000
V and B Pont l'Abbé	7 Rue Du Petit Train	29120
V and B Pontarlier	33 rue De La Liberation	25300
V and B Pontivy	rue Joseph Quilliou	56300
V and B Pornic	17 rue Jean Monnet	44210
V and B Portet-sur-Garonne	8 avenue Des Palanques	31120
V and B Porto-Vecchio	Quartier Matonara	20137
V and B Publier-Amphion	impasse Des Vignes Rouges	74500
V and B Quimper	52 avenue De Keradennec	29000
V and B Redon	9 rue Joseph Ricordel	35600
V and B Reims Cormontreuil	25 rue Des Laps	51350
V and B Rennes	14 rue Jean Le Hô	35000
V and B Rennes - Longchamps	4 A rue Ferdinand Pelloutier	35000
V and B Rennes Sud Est	1 rue De La Sauvaie	35200
V and B Rezé	44 rue Ernest Sauvestre	44400
V and B Roanne	98-100 boulevard Jean-Baptiste Clément	42300
V and B Rochefort	95 rue Des Pêcheurs D'Islande	17300
V and B Rodez	5 espace Commercial St Marc	12850
V and B Romans-sur-Isère	3 avenue Des Allobroges	26100
V and B Romorantin	68 avenue De Paris	41200
V and B Royan	3 Rue Henri Matisse	17200
V and B Sablé-sur-Sarthe	1 rue De La Tuilerie	72300
V and B Saintes	8 rue Du Champ De Tir	17100
V and B Sallanches	504 clos De L’Île Roche	74700
V and B Sarlat	644 Avenue Simone Veil	24200
V and B Sarrebourg	14 rue Dessirier	57400
V and B Sarreguemines	14 Rue des Ormes	57200
V and B Saumur	82-84 boulevard Des Demoiselles	49400
V and B Scionzier	546 rue César Vuarchex	74950
V and B Segré	3 rue Gustave Eiffel	49500
V and B Sérignan	Rue Paul Cézanne - Route de Valras	- CC Carrefour	34410
V and B Servon	6 rue Georges Truffaut	77170
V and B Soyons	Centre Commercial Pont des Lônes	07130
V and B St-André-de-Cubzac	240 avenue Boucicaut ZAC Du Parc D'Aquitaine	33240
V and B St-Berthevin	1 rue De La Boutellerie	53940
V and B St-Denis	3 Rue de la Gare Routière	97400
V and B St-Doulchard	30 rue Des Creuzettes	18230
V and B St-Genis-Pouilly	45 rue Du Mont Blanc	01630
V and B St-Gervais-la-Forêt	40 rue De La Fédération	41350
V and B St-Herblain	331 Route de Vannes	44800
V and B St-Jean-d'Illac	3140 avenue De Bordeaux	33127
V and B St-Junien	avenue D'Oradour-Sur-Glane	87200
V and B St-Lô	54 rue Denis Papin	50180
V and B St-Malo	3 rue Claude Chapel	35400
V and B St-Martin-Boulogne	17 Rue du Mont Joie	62280
V and B St-Maximin	164 rue Du Jeu De Paume	60740
V and B St-Médard	165 avenue Du Général De Gaulle	33160
V and B St-Memmie	11 Avenue Mercuria	51470
V and B St-Parres-aux-Tertres	12 rue Des Magnolias	10410
V and B St-Paul-les-Dax	980 boulevard St Vincent De Paul	40990
V and B St-Pierre	169 rue Albert Luthuli	97410
V and B St-Pierre-lès-Elbeuf	Route de Pont-de-l'Arche	76320
V and B St-Priest	179 route De Grenoble	69800
V and B Ste-Eulalie	57 avenue De L'Aquitaine	33560
V and B Strasbourg La Vigie	3 rue Ferdinand Braun	67540
V and B Tarbes	59 avenue Du Pouey	65420
V and B Thionville	5A Rue des Auriges	57100
V and B Thonon-les-Bains	19 avenue Du Pré Robert Sud	74200
V and B Thouars	145 avenue Emile Zola	79100
V and B Toulon La Valette	avenue Maréchal Alphonse Juin	83160
V and B Toulouse Blagnac	6 place Marcel Dassault	31700
V and B Toulouse Purpan	47 route De Bayonne	31300
V and B Toulouse Reflets Compans	3 esplanade Compans Caffarelli	31000
V and B Toulouse St-Alban	54 Rue de Fenouillet	31140
V and B Tours	10 Rue Albert Einstein	37100
V and B Tours Galerie du Palais	12 rue Victor Hugo	37000
V and B Trie-Château	17 avenue Des Deux Vexins	60590
V and B Trignac	impasse De La Bosselle	44570
V and B Tulle	38 avenue De Ventadour	19000
V and B Vannes - Séné	1 rue Marcel Geistel	56860
V and B Vannes Ouest	30 rue Ernest - Cognac - Jay	56000
V and B Vendôme	14 Boulevard De L'Industrie	41100
V and B Vernon	9 rue Des Chaumes	27950
V and B Vert-Saint-Denis	20 Rue de l'Attaque du Courrier de Lyon	77240
V and B Villabé	3 route De Villoison	91100
V and B Ville-la-Grand	4 Rue de Montréal	74100
V and B Villefranche-de-Rouergue	Route de Montauban	12200
V and B Villefranche-sur-Saône	836 rue Ampère	69400
V and B Villeneuve-d'Ascq	191 boulevard De Valmy	59650
V and B Villeneuve-sur-Lot	771 avenue De Bordeaux	47300
V and B Vire	avenue Bischwiller	14500
V and B Vitré	4 rue Du Fougeray	35500
V and B Vitrolles	rue François Dumouriez	13127
V and B Vourles	Les Sept Chemins	69390