Le Repaire de Bacchus Antony	3 rue Auguste Mounié	92160
Le Repaire de Bacchus Auteuil	58 rue d'Auteuil	75016
Le Repaire de Bacchus Bayen	6 rue Bayen	75017
Le Repaire de Bacchus Belleville	105 rue de Belleville	75019
Le Repaire de Bacchus Boulogne	52 avenue Jean-Baptiste Clément	92100
Le Repaire de Bacchus Boulogne 2	247 Boulevard Jean Jaurès	92100
Le Repaire de Bacchus Bretagne	40 rue de Bretagne	75003
Le Repaire de Bacchus Cler	29 rue Cler	75007
Le Repaire de Bacchus Colombes	47 Rue Saint-Denis	92700
Le Repaire de Bacchus Convention	228 rue de la Convention	75015
Le Repaire de Bacchus De Maistre	1 rue Joseph De Maistre	75018
Le Repaire de Bacchus Fontenay	17, rue du Commandant Jean Duhail	94120
Le Repaire de Bacchus Levallois-Perret	20 rue Henri Barbusse	92300
Le Repaire de Bacchus Levis	51 rue de Levis	75017
Le Repaire de Bacchus Losserand	104 rue Raymond Losserand	75014
Le Repaire de Bacchus Lourmel	4 rue de Lourmel	75015
Le Repaire de Bacchus Martyrs	11 rue des Martyrs	75009
Le Repaire de Bacchus Maubert	47 ter, boulevard Saint-Germain	75005
Le Repaire de Bacchus Moines	30 rue des Moines	75017
Le Repaire de Bacchus Montorgueil	88 rue Montorgueil	75002
Le Repaire de Bacchus Morillons	75 rue des Morillons	75015
Le Repaire de Bacchus Mouffetard	112 rue Mouffetard	75005
Le Repaire de Bacchus Mozart	52 avenue Mozart	75016
Le Repaire de Bacchus Ozoir	9 Av. du Général Leclerc	77330
Le Repaire de Bacchus Poteau	5 rue du Poteau	75018
Le Repaire de Bacchus Printemps	64 Boulevard Haussmann	75009
Le Repaire de Bacchus Rambuteau	14 rue Rambuteau	75003
Le Repaire de Bacchus Saint-Charles 2	159 Rue Saint-Charles	75015
Le Repaire de Bacchus Saint-Dominique	122 rue Saint-Dominique	75007
Le Repaire de Bacchus Saint-Germain-en-Laye	60 rue de Poissy	78100
Le Repaire de Bacchus Saint-Maur	14 avenue Charles de Gaulle	94100
Le Repaire de Bacchus Tolbiac	215 bis rue de Tolbiac	75013
Le Repaire de Bacchus Vincennes	50 rue du Midi	94300