Le Comptoir Irlandais de Angers	30 rue de la Roë	49100
Le Comptoir Irlandais de Auray	1 rue du lait	56400
Le Comptoir Irlandais de Bayeux	30 rue Saint-Martin	14400
Le Comptoir Irlandais de Bayonne	21 rue Lormand	64100
Le Comptoir Irlandais de Besançon	19 Place du 8 Septembre	25000
Le Comptoir Irlandais de Blois	48 rue Denis Papin	41000
Le Comptoir Irlandais de Bordeaux	14 rue du Temple	33000
Le Comptoir Irlandais de Brest	32 quai de la Douane	29200
Le Comptoir Irlandais de Brive-La-Gaillarde	9 rue Lieutenant Colonel Farro	19100
Le Comptoir Irlandais de Caen	48 rue Saint-Jean	14000
Le Comptoir Irlandais de Chartres	12-14 rue de la tonnellerie	28000
Le Comptoir Irlandais de Cherbourg	18 quai de Caligny	50100
Le Comptoir Irlandais de Clermont-Ferrand	76 rue Lamartine	63000
Le Comptoir Irlandais de Deauville	27 rue Olliffe	
Le Comptoir Irlandais de Dieppe	95 Grande Rue	76200
Le Comptoir Irlandais de Dijon	7 rue Mably	21000
Le Comptoir Irlandais de Dunkerque	6 rue de la Marine	59140
Le Comptoir Irlandais de Granville	17 rue Georges Clemenceau	50400
Le Comptoir Irlandais de Grenoble	1 rue Jean-François Hache	
Le Comptoir Irlandais de La Rochelle	15 rue Pas du Minage	17000
Le Comptoir Irlandais de La Trinité-Sur-Mer	27 cours des Quais	56470
Le Comptoir Irlandais de Lannion	5 rue Emile Le Taillandier	22300
Le Comptoir Irlandais de Libourne	44, rue Gambetta	33500
Le Comptoir Irlandais de Lille	16 rue de la vieille comédie	59800
Le Comptoir Irlandais de Lorient	32 avenue de la Perrière	
Le Comptoir Irlandais de Lyon	38 quai Saint-Antoine	
Le Comptoir Irlandais de Metz	4 Place St Nicolas	57000
Le Comptoir Irlandais de Morlaix	10 Place des Otages	29600
Le Comptoir Irlandais de Nancy	111 rue St Dizier	54000
Le Comptoir Irlandais de Nantes	12 rue Verdun	44000
Le Comptoir Irlandais de Nice	25, avenue Notre Dame	06000
Le Comptoir Irlandais de Orléans	31 boulevard Alexandre Martin	45000
Le Comptoir Irlandais de Paimpol	8 rue Huit Patriotes	22500
Le Comptoir Irlandais de Paris 11e	157 boulevard Voltaire	
Le Comptoir Irlandais de Paris 13e	57 rue Tolbiac	
Le Comptoir Irlandais de Pau	5 place de la Libération	64000
Le Comptoir Irlandais de Périgueux	35 rue Limogeanne	24000
Le Comptoir Irlandais de Poitiers	3 rue Régratterie	86000
Le Comptoir Irlandais de Pontivy	11 rue Fil	56300
Le Comptoir Irlandais de Quiberon	34 rue de Verdun	56170
Le Comptoir Irlandais de Quimper	8 quai de l’Odet	29000
Le Comptoir Irlandais de Rennes	6 rue de Dinan	35000
Le Comptoir Irlandais de Rouen	67 rue Jeanne d'Arc	76000
Le Comptoir Irlandais de Saint-Brieuc	45 rue St Guillaume	22000
Le Comptoir Irlandais de Saint-Malo	38 rue Ville-Pépin	
Le Comptoir Irlandais de Saint-Nazaire	36 avenue de la République	44600
Le Comptoir Irlandais de Saint-Quentin	5 rue des Halles	
Le Comptoir Irlandais de Toulon	15 place de la Cathédrale	83000
Le Comptoir Irlandais de Toulouse	19 rue de la Trinité	31000
Le Comptoir Irlandais de Tours	7 rue Marceau	37000
Le Comptoir Irlandais De Valenciennes	20 rue du Quesnoy	59300
Le Comptoir Irlandais de Vannes	3 rue Porte Prison	56000
Le Comptoir Irlandais du Havre	39 Place Halles Centrales	76600
Le Comptoir Irlandais du Mans	6 Place Franklin Roosevelt	72000
Le Comptoir Irlandais du Puy en Velay	21 boulevard St Louis	43000